tanggal,pasar,komoditas,harga
2026-08-13,Pasar Margahayu,IKAN MAS,30000.0
2026-08-13,Pasar Margahayu,Ikan Nila,40000.0
2026-08-13,Pasar Margahayu,Ikan Patin,32000.0
2026-08-13,Pasar Margahayu,IKAN TONGKOL,46000.0
2026-08-13,Pasar Margahayu,JAGUNG MANIS,18000.0
2026-08-13,Pasar Margahayu,JAGUNG PIPILAN,20000.0
2026-08-13,Pasar Margahayu,JERUK,25000.0
2026-08-13,Pasar Margahayu,KACANG HIJAU,28000.0
2026-08-13,Pasar Margahayu,KACANG KEDELAI IMPOR,
2026-08-13,Pasar Margahayu,KACANG KEDELAI LOKAL,15000.0
2026-08-13,Pasar Margahayu,KACANG PANJANG,28000.0
2026-08-13,Pasar Margahayu,KACANG TANAH KUPAS,38000.0
2026-08-13,Pasar Margahayu,KANGKUNG,2000.0
2026-08-13,Pasar Margahayu,KENTANG DIENG,20000.0
2026-08-13,Pasar Margahayu,KETELA POHON,6000.0
2026-08-13,Pasar Margahayu,MELON,18000.0
2026-08-13,Pasar Margahayu,MIE INSTAN INDOMIE,3000.0
2026-08-13,Pasar Margahayu,MINYAK BIMOLI,
2026-08-13,Pasar Margahayu,MINYAK CURAH,21500.0
2026-08-13,Pasar Margahayu,MINYAKITA,20000.0
2026-08-13,Pasar Margahayu,MINYAK SANIA,
2026-08-13,Pasar Margahayu,PAKCOY,12000.0
2026-08-13,Pasar Margahayu,PEPAYA,16000.0
2026-08-13,Pasar Margahayu,PISANG,8000.0
2026-08-13,Pasar Margahayu,SAWI PUTIH,10000.0
2026-08-13,Pasar Margahayu,SAYURAN BUNCIS,30000.0
2026-08-13,Pasar Margahayu,SAYURAN KENTANG LOKAL,15000.0
2026-08-13,Pasar Margahayu,SAYURAN KOL/KUBIS,8000.0
2026-08-13,Pasar Margahayu,SAYURAN TOMAT,12000.0
2026-08-13,Pasar Margahayu,SAYURAN WORTEL,20000.0
2026-08-13,Pasar Margahayu,SKM BENDERA,13000.0
2026-08-13,Pasar Margahayu,SKM CAP ENAK,11500.0
2026-08-13,Pasar Margahayu,SKM INDOMILK,12000.0
2026-08-13,Pasar Margahayu,SUSU BALITA (SGM),42500.0
2026-08-13,Pasar Margahayu,SUSU BUBUK DANCOW VANILA,
2026-08-13,Pasar Margahayu,TAHU,10000.0
2026-08-13,Pasar Margahayu,TELUR AYAM BROILER,23500.0
2026-08-13,Pasar Margahayu,TELUR AYAM KAMPUNG,3000.0
2026-08-13,Pasar Margahayu,TEMPE,17000.0
2026-08-13,Pasar Margahayu,TERIGU CAKRA KEMBAR,15000.0
2026-08-13,Pasar Margahayu,TERIGU CURAH,10000.0
2026-08-13,Pasar Margahayu,TERIGU KUNCI BIRU,14000.0
